supermercado,categoria_padre,subcategoria,categoria_padre_anterior,categoria_anterior,nombre,imagen_url,precio
alcampo,Frescos,Frutas,,,Piña extradulce troceada FRUTIFRESH 400 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/158c1eaf-4f75-4134-9c36-9fff2ff9691c/300x300.jpg,
alcampo,Frescos,Frutas,,,Aguacate light a granel,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/ca9a3335-6b64-418e-bbe6-b0fe9a34f155/300x300.jpg,
alcampo,Frescos,Frutas,,,Manzanas Royal Gala bandeja,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/d6912d9f-9305-4f44-9a62-207ab6d44cef/300x300.jpg,
alcampo,Frescos,Frutas,,,Manzanas rojas a granel,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/9fdbff8c-c313-4611-bc46-d2324e12148d/300x300.jpg,
alcampo,Frescos,Frutas,,,"Cerezas, cesta de1 kg.",https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/c6cf4a79-66fd-44af-93ae-5dbb6e8358c3/300x300.jpg,
alcampo,Frescos,Frutas,,,"Melocotones amarillos, cesta de 1 kg",https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/a149b209-1387-42e9-be12-4dc8f131bb95/300x300.jpg,
alcampo,Frescos,Frutas,,,ALCAMPO CULTIVAMOS LO BUENO Compota de manzana y piña  pack 4 uds. x 100 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/6471ee3d-19b6-411d-a3aa-92645828fbcb/300x300.jpg,
alcampo,Frescos,Frutas,,,Smoothie antioxidante INNOCENT 300 ml.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/2f6c4064-9dd3-48ef-ae27-64a88794864d/300x300.jpg,
alcampo,Frescos,Frutas,,,"Melocotones rojos, bandeja de 1 kg.",https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/1a797bab-0576-4c05-a6b0-e871f130fdd3/300x300.jpg,
alcampo,Frescos,Frutas,,,Mango ecológico variedad Osteen ecológico IBER Bandeja de 400g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/013838f7-8a22-4651-960c-8fe39e438dfe/300x300.jpg,
alcampo,Frescos,Frutas,,,Manzanas Grany bandeja,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/330ae5b8-0960-432a-b850-3e906fabdaeb/300x300.jpg,
